epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.626,1.27925,4.0375,1.52636,0.00342,0.39729,0.05106,0.04273,1.02292,3.86928,1.56329,0.0001375,0.0001375,0.0001375
2,20.8613,1.19553,3.54146,1.44303,0.00538,0.54908,0.24469,0.1858,1.0688,3.7454,1.5043,0.000281807,0.000281807,0.000281807
3,24.0222,1.19234,3.02444,1.41785,0.01503,0.67419,0.19666,0.13092,1.02069,3.65677,1.38564,0.000420175,0.000420175,0.000420175
4,27.0679,1.16311,2.60276,1.44076,0.00426,0.74675,0.31914,0.16743,1.22444,3.39811,1.63642,0.000552602,0.000552602,0.000552602
5,30.0391,1.2421,2.56811,1.44366,0.74566,0.06183,0.40162,0.25996,1.07377,3.09634,1.37114,0.00067909,0.00067909,0.00067909
6,32.9637,1.06877,2.35278,1.3992,0.37767,0.37715,0.44205,0.33007,1.07052,2.58256,1.24644,0.000799638,0.000799638,0.000799638
7,35.9122,1.11097,2.45845,1.35959,0.50849,0.49097,0.47666,0.32023,1.21598,2.4617,1.47791,0.000914245,0.000914245,0.000914245
8,38.8277,1.08793,2.29583,1.38318,0.52085,0.53758,0.46931,0.31028,1.27824,2.5579,1.63872,0.00102291,0.00102291,0.00102291
9,41.8024,1.16031,2.25786,1.42679,0.41222,0.50417,0.4904,0.34285,1.11979,2.54109,1.34772,0.001052,0.001052,0.001052
10,44.781,1.03409,2.10616,1.31979,0.41753,0.49334,0.47659,0.34214,1.13882,2.45146,1.39338,0.00102725,0.00102725,0.00102725
11,47.8052,1.1556,2.17736,1.43699,0.52105,0.62797,0.54442,0.3722,1.12459,2.15294,1.44368,0.0010025,0.0010025,0.0010025
12,50.7205,1.08985,2.0321,1.27568,0.55816,0.59416,0.60045,0.39482,1.08279,2.16443,1.46852,0.00097775,0.00097775,0.00097775
13,53.7396,1.09682,2.112,1.38116,0.51623,0.62852,0.65432,0.46364,0.98402,2.55549,1.22546,0.000953,0.000953,0.000953
14,56.6574,1.11394,2.07682,1.27569,0.54837,0.62215,0.62126,0.45847,0.95539,2.49896,1.16185,0.00092825,0.00092825,0.00092825
15,59.6218,1.11032,2.05601,1.39275,0.63094,0.72931,0.63601,0.47276,0.91525,1.82724,1.16764,0.0009035,0.0009035,0.0009035
16,62.5568,1.10488,1.85076,1.31626,0.65225,0.70644,0.67929,0.52526,0.89428,1.70845,1.16157,0.00087875,0.00087875,0.00087875
17,65.5712,0.99766,1.70168,1.24743,0.78358,0.66867,0.77484,0.58336,0.85514,1.55709,1.15652,0.000854,0.000854,0.000854
18,68.4847,1.03929,1.77621,1.28398,0.71281,0.79265,0.78367,0.58839,0.8031,1.51367,1.09336,0.00082925,0.00082925,0.00082925
19,71.4533,0.95803,1.63707,1.27975,0.7011,0.71926,0.7162,0.54436,0.85237,1.7362,1.09612,0.0008045,0.0008045,0.0008045
20,74.5752,0.91482,1.65664,1.23846,0.73579,0.693,0.72861,0.55073,0.86249,1.65089,1.11362,0.00077975,0.00077975,0.00077975
21,77.4853,0.87456,1.43182,1.18132,0.68194,0.78318,0.77792,0.59791,0.85539,1.48408,1.12961,0.000755,0.000755,0.000755
22,80.3937,0.96811,1.59161,1.25815,0.76856,0.71153,0.79854,0.60763,0.83578,1.56457,1.113,0.00073025,0.00073025,0.00073025
23,83.3522,0.85382,1.33412,1.20229,0.79373,0.75316,0.78768,0.6053,0.78852,1.49999,1.07118,0.0007055,0.0007055,0.0007055
24,86.2599,0.94242,1.46953,1.22964,0.78214,0.73682,0.77265,0.6037,0.77026,1.47692,1.08026,0.00068075,0.00068075,0.00068075
25,89.2309,0.88889,1.48227,1.18812,0.84053,0.78704,0.84978,0.67395,0.74395,1.24075,1.06278,0.000656,0.000656,0.000656
26,92.3007,0.9112,1.41939,1.2264,0.88943,0.74006,0.85962,0.69879,0.7489,1.19654,1.06856,0.00063125,0.00063125,0.00063125
27,95.2604,0.89856,1.43987,1.27594,0.81912,0.86157,0.86073,0.70639,0.71145,1.16269,1.02235,0.0006065,0.0006065,0.0006065
28,98.1736,0.93105,1.45266,1.17276,0.79007,0.88057,0.8603,0.7119,0.68683,1.15679,0.98827,0.00058175,0.00058175,0.00058175
29,101.121,0.86797,1.33674,1.14832,0.86998,0.83701,0.88719,0.72969,0.69213,1.11777,1.00693,0.000557,0.000557,0.000557
30,104.021,0.94263,1.39113,1.26791,0.83794,0.86913,0.89211,0.72541,0.70286,1.10885,1.01908,0.00053225,0.00053225,0.00053225
